GPA,Course_Scores,Aptitude_Score,Attendance,Supervisor_Evaluation,Report_Quality,Activity_Log_Frequency,Completion_Time,Feedback_Rating,Performance,Intern_ID,Performance_Score
0.7,21.3,69.0,74.98,4.28,3.16,7,4.1,2.71,Fair,INT0090,54.45
1.63,71.1,90.8,85.35,6.22,5.2,14,1.59,3.49,Good,INT0091,73.5
0.9,64.6,37.6,52.75,4.68,0.62,11,4.95,2.87,Fair,INT0092,53.12
1.14,53.2,12.0,86.39,5.72,3.72,13,5.56,3.29,Average,INT0093,55.68
2.37,62.2,66.2,70.48,7.98,5.91,13,4.52,4.19,Good,INT0094,79.87
2.54,60.1,39.0,46.61,10.0,5.21,8,5.17,5.0,Good,INT0095,78.67
1.34,14.3,14.8,78.85,3.32,3.61,11,3.75,2.33,Average,INT0096,68.34
2.48,57.6,28.5,44.48,5.4,5.4,9,4.45,3.16,Good,INT0097,71.42
1.68,30.4,63.6,7.37,4.68,5.42,6,3.59,2.87,Good,INT0098,75.39
3.93,85.9,58.5,8.66,0.0,6.83,9,1.0,1.0,Good,INT0099,81.78
0.82,90.0,40.7,59.64,3.68,4.33,7,1.43,2.47,Average,INT0100,62.92
3.15,79.6,44.7,0.32,10.0,9.44,13,1.33,5.0,Excellent,INT0101,100.0
1.16,95.0,86.6,26.77,8.17,8.2,6,4.52,4.27,Average,INT0102,58.27
2.85,81.6,61.5,65.42,9.33,4.57,15,3.22,4.73,Excellent,INT0103,85.64
0.4,20.6,60.2,31.77,5.38,6.13,8,4.23,3.15,Fair,INT0104,53.08
1.75,22.0,44.7,56.64,4.53,1.08,4,6.42,2.81,Average,INT0105,67.79
0.25,81.2,40.9,56.56,0.0,5.16,8,3.92,1.0,Average,INT0106,55.73
1.22,40.3,11.5,60.68,0.1,1.79,15,3.35,1.04,Average,INT0107,61.58
0.64,27.5,23.1,91.43,2.62,5.96,8,5.27,2.05,Average,INT0108,64.25
2.32,59.8,43.3,43.27,5.2,8.85,12,2.53,3.08,Good,INT0109,70.56
1.28,32.0,26.2,72.92,0.0,2.68,9,1.53,1.0,Average,INT0110,62.97
3.6,52.6,82.7,96.65,0.0,5.17,12,2.58,1.0,Average,INT0111,66.24
0.83,50.2,54.3,91.54,0.0,3.93,9,1.81,1.0,Average,INT0112,60.9
1.33,78.0,19.0,74.97,10.0,2.73,12,6.48,5.0,Average,INT0113,64.58
0.38,7.1,23.0,85.09,8.93,4.2,6,5.64,4.57,Average,INT0114,56.8
0.43,36.2,23.5,78.35,2.95,2.11,10,5.01,2.18,Fair,INT0115,48.86
0.21,10.9,9.9,66.83,0.0,0.15,8,6.38,1.0,Fair,INT0116,41.03
0.81,8.2,14.9,66.55,0.0,2.62,7,5.76,1.0,Poor,INT0117,36.92
2.43,86.7,82.6,73.1,4.68,8.36,9,2.02,2.87,Good,INT0118,79.76
2.1,3.9,8.6,66.83,4.95,1.54,9,6.23,2.98,Poor,INT0119,29.18
2.47,9.4,42.7,67.87,7.05,3.34,7,3.92,3.82,Good,INT0120,71.09
0.12,11.1,26.9,53.35,2.0,0.3,8,5.43,1.8,Fair,INT0121,40.53
0.75,23.6,39.7,97.66,2.0,1.39,11,6.15,1.8,Fair,INT0122,50.69
3.32,67.8,96.4,98.15,3.9,9.09,13,2.73,2.56,Excellent,INT0123,97.99
3.74,51.7,96.0,77.79,9.18,4.84,11,1.71,4.67,Good,INT0124,84.48
0.85,88.9,20.4,80.33,0.23,6.4,5,2.64,1.09,Average,INT0125,63.75
1.94,81.9,77.9,59.29,7.5,7.53,8,3.46,4.0,Good,INT0126,80.95
1.94,61.1,45.7,84.77,2.42,8.48,11,6.35,1.97,Average,INT0127,63.24
1.56,77.5,10.1,31.43,7.5,4.35,11,6.49,4.0,Average,INT0128,62.25
3.56,87.2,48.5,6.44,10.0,5.44,13,1.52,5.0,Excellent,INT0129,86.3
3.05,84.6,40.4,83.42,1.82,1.47,16,4.44,1.73,Good,INT0130,73.85
3.19,40.9,60.1,65.52,9.42,4.98,12,3.62,4.77,Good,INT0131,83.1
0.55,5.6,10.8,52.49,0.0,4.43,10,2.43,1.0,Fair,INT0132,53.85
3.79,93.2,85.6,91.59,5.75,9.08,10,1.35,3.3,Excellent,INT0133,93.27
0.87,54.6,92.3,65.52,6.6,5.91,9,3.25,3.64,Average,INT0134,65.99
0.03,14.8,1.0,24.38,0.0,0.26,12,6.76,1.0,Poor,INT0135,33.42
0.55,2.5,36.0,53.74,0.0,1.76,16,2.95,1.0,Fair,INT0136,44.75
0.53,45.6,30.8,42.03,4.68,0.83,11,4.3,2.87,Fair,INT0137,52.1
2.31,79.1,45.6,58.9,6.0,7.82,13,5.16,3.4,Average,INT0138,66.61
3.63,94.8,39.2,5.95,5.18,6.95,17,3.2,3.07,Good,INT0139,82.65
2.7,51.4,77.8,41.09,5.02,1.81,18,6.73,3.01,Fair,INT0140,52.74
1.32,29.0,5.4,90.23,2.0,7.0,13,6.99,1.8,Fair,INT0141,43.18
2.59,28.8,68.9,58.69,2.2,5.02,4,2.89,1.88,Good,INT0142,73.36
2.09,40.7,86.3,74.64,10.0,5.06,10,4.32,5.0,Good,INT0143,82.74
2.01,33.7,25.4,84.4,1.48,1.82,20,3.1,1.59,Good,INT0144,71.36
2.74,46.6,86.4,82.6,3.75,7.76,12,2.22,2.5,Good,INT0145,83.42
2.92,76.0,78.3,7.63,10.0,9.07,9,1.63,5.0,Excellent,INT0146,92.12
2.67,57.5,17.0,70.85,9.85,6.45,7,4.43,4.94,Good,INT0147,84.51
3.38,20.5,13.5,23.9,2.7,5.74,13,4.41,2.08,Average,INT0148,59.87
3.76,74.1,91.0,74.69,3.58,9.71,12,1.01,2.43,Excellent,INT0149,95.39
2.75,90.9,67.9,61.66,7.92,7.05,14,2.61,4.17,Good,INT0150,71.83
0.99,28.1,10.6,53.89,10.0,0.69,7,6.7,5.0,Average,INT0151,62.35
1.49,27.3,24.2,0.0,6.4,0.79,6,2.58,3.56,Average,INT0152,55.82
1.83,7.3,55.2,24.18,4.68,7.13,4,1.79,2.87,Average,INT0153,68.74
1.11,46.6,43.9,81.65,4.53,1.96,3,4.12,2.81,Fair,INT0154,48.83
1.9,47.6,33.4,62.99,5.45,4.56,10,6.96,3.18,Average,INT0155,64.23
3.56,64.6,80.6,59.51,1.67,5.53,11,2.23,1.67,Good,INT0156,70.24
1.99,18.5,55.9,50.21,2.0,1.56,12,5.18,1.8,Fair,INT0157,50.92
1.38,51.4,55.1,80.68,0.0,5.93,8,5.27,1.0,Fair,INT0158,47.99
2.81,11.2,85.5,62.43,8.52,9.15,11,2.62,4.41,Good,INT0159,84.95
2.36,22.7,44.1,36.75,10.0,5.98,14,4.87,5.0,Good,INT0160,70.71
0.95,39.3,40.4,80.68,9.52,5.59,5,3.26,4.81,Good,INT0161,70.34
1.5,49.8,60.1,97.29,8.15,6.79,4,4.69,4.26,Good,INT0162,75.15
3.11,97.6,55.6,83.74,8.75,7.53,10,4.6,4.5,Average,INT0163,69.65
0.34,25.6,63.8,89.15,0.0,1.26,6,4.23,1.0,Average,INT0164,62.94
3.84,96.1,57.8,66.83,8.65,6.9,23,3.92,4.46,Excellent,INT0165,95.14
0.17,44.2,8.4,63.61,0.0,3.25,8,6.48,1.0,Fair,INT0166,43.65
2.42,81.0,65.9,72.71,6.18,6.78,10,3.25,3.47,Good,INT0167,72.52
2.77,56.1,79.3,90.36,2.95,8.01,13,2.34,2.18,Good,INT0168,78.81
3.01,42.3,83.2,7.59,4.47,7.66,10,1.22,2.79,Good,INT0169,83.76
1.57,65.2,82.2,92.34,8.57,5.36,6,4.44,4.43,Average,INT0170,66.34
2.04,85.0,54.2,99.44,4.7,6.08,15,4.6,2.88,Good,INT0171,74.19
2.03,65.1,32.7,8.86,3.4,6.84,8,1.0,2.36,Average,INT0172,65.59
0.95,63.3,31.4,52.27,2.62,1.89,4,4.42,2.05,Average,INT0173,60.79
0.46,79.9,19.1,57.48,0.0,4.92,15,2.24,1.0,Average,INT0174,58.69
0.95,24.8,23.5,38.28,5.85,0.64,8,4.83,3.34,Fair,INT0175,47.96
0.21,11.8,12.0,56.55,4.65,3.38,8,1.82,2.86,Fair,INT0176,52.66
3.07,78.8,71.9,93.53,9.62,5.19,11,4.92,4.85,Good,INT0177,74.93
1.28,74.4,82.0,51.16,3.77,3.85,8,2.88,2.51,Average,INT0178,62.03
1.56,27.0,38.3,65.79,3.77,1.97,4,6.73,2.51,Average,INT0179,57.36
1.9,93.1,45.8,59.23,6.78,7.55,16,1.78,3.71,Good,INT0180,82.34
3.14,82.0,74.1,96.58,1.8,9.1,11,3.16,1.72,Good,INT0181,81.88
3.05,81.3,19.3,63.2,6.7,7.71,16,1.73,3.68,Good,INT0182,83.41
1.68,17.9,24.6,6.32,3.38,6.88,18,6.85,2.35,Fair,INT0183,53.18
1.94,45.8,82.0,98.62,3.25,6.15,5,6.51,2.3,Fair,INT0184,54.43
2.17,79.1,42.6,74.85,5.9,7.09,7,2.82,3.36,Good,INT0185,81.54
1.66,17.9,17.9,61.72,2.45,5.01,13,4.96,1.98,Average,INT0186,57.5
2.54,33.9,28.5,59.69,8.0,5.38,15,5.75,4.2,Average,INT0187,63.01
0.92,20.5,71.2,61.15,7.5,6.42,10,4.76,4.0,Good,INT0188,75.25
0.76,16.0,68.0,85.43,4.68,0.77,12,3.73,2.87,Average,INT0189,59.25
1.96,30.6,61.6,20.54,2.0,6.48,7,2.1,1.8,Fair,INT0190,54.91
3.11,92.2,47.4,52.57,8.3,5.61,12,1.48,4.32,Good,INT0191,76.8
2.72,37.9,19.9,80.41,2.5,2.73,6,6.49,2.0,Fair,INT0192,46.14
0.27,18.4,53.1,82.1,0.0,2.79,14,5.91,1.0,Poor,INT0193,39.65
3.69,65.0,79.5,83.26,7.5,8.99,10,5.02,4.0,Excellent,INT0194,85.35
0.57,25.0,32.1,48.22,0.0,0.35,12,3.09,1.0,Average,INT0195,60.99
3.56,53.1,83.0,55.6,6.8,4.23,9,3.08,3.72,Excellent,INT0196,96.92
3.15,58.1,21.9,76.68,4.68,7.38,14,3.92,2.87,Good,INT0197,70.12
0.97,52.3,64.5,66.83,7.12,0.47,10,6.4,3.85,Average,INT0198,62.36
0.95,49.4,50.6,89.85,2.0,4.0,12,5.98,1.8,Fair,INT0199,52.42
0.67,43.7,5.5,66.87,0.0,5.64,8,5.29,1.0,Average,INT0200,58.03
0.86,73.5,15.7,20.76,4.73,7.11,6,4.64,2.89,Average,INT0201,61.65
3.25,67.9,34.9,66.83,5.72,5.62,17,1.71,3.29,Average,INT0202,64.58
1.98,55.0,77.1,74.38,0.55,7.05,8,2.06,1.22,Good,INT0203,73.71
0.12,41.3,12.7,57.32,4.68,2.66,8,6.37,2.87,Fair,INT0204,44.36
1.89,34.6,27.9,93.39,3.6,0.47,7,4.71,2.44,Average,INT0205,59.92
0.98,29.0,37.0,7.29,0.0,5.93,13,1.12,1.0,Average,INT0206,62.56
3.22,86.6,80.5,66.83,5.38,9.47,12,1.42,3.15,Excellent,INT0207,96.77
1.9,15.1,32.2,48.92,5.68,3.23,8,4.58,3.27,Average,INT0208,55.34
1.03,5.5,38.7,9.28,2.0,2.06,8,1.43,1.8,Average,INT0209,61.66
2.53,74.5,63.3,59.61,8.3,7.97,13,2.06,4.32,Good,INT0210,79.9
2.56,55.9,85.1,34.34,7.5,9.44,13,4.49,4.0,Good,INT0211,84.11
0.09,14.6,16.1,52.37,0.8,2.83,9,5.11,1.32,Fair,INT0212,46.04
0.5,4.0,15.4,62.04,3.18,3.53,8,5.17,2.27,Fair,INT0213,42.81
2.69,41.1,46.2,67.27,5.2,2.26,5,2.43,3.08,Good,INT0214,76.93
3.05,59.4,94.3,91.66,10.0,7.71,17,4.82,5.0,Good,INT0215,82.64
2.94,92.5,66.8,28.36,7.35,8.77,11,2.81,3.94,Good,INT0216,80.19
2.94,59.2,91.0,66.83,8.22,8.75,14,2.76,4.29,Good,INT0217,77.46
0.34,15.1,20.8,71.97,2.65,4.66,10,5.12,2.06,Fair,INT0218,47.8
2.24,55.2,67.9,89.24,7.43,8.01,13,4.49,3.97,Average,INT0219,66.59
0.53,11.4,57.6,98.81,2.9,0.25,8,6.32,2.16,Fair,INT0220,45.2
3.38,67.3,39.3,61.99,4.68,6.2,18,5.15,2.87,Average,INT0221,68.47
2.98,48.8,53.4,57.88,4.68,8.09,17,4.61,2.87,Good,INT0222,80.61
3.32,91.8,82.0,81.09,7.5,9.57,19,1.98,4.0,Excellent,INT0223,100.0
1.04,82.7,30.2,68.2,2.1,6.54,10,3.06,1.84,Average,INT0224,62.31
1.07,29.3,44.4,66.83,0.0,1.78,7,2.65,1.0,Average,INT0225,57.38
2.9,67.2,60.6,71.2,4.95,8.85,10,2.58,2.98,Good,INT0226,74.1
2.86,29.9,56.7,61.4,6.57,8.36,8,7.0,3.63,Average,INT0227,61.02
2.61,68.0,97.3,53.5,7.4,8.05,16,3.17,3.96,Good,INT0228,77.93
0.13,21.5,14.2,76.78,5.93,0.65,11,6.81,3.37,Fair,INT0229,47.68
1.31,23.2,18.8,3.74,6.62,3.39,10,4.44,3.65,Average,INT0230,56.87
2.23,42.4,52.1,86.9,0.13,3.46,18,3.92,1.05,Average,INT0231,64.93
1.13,38.0,52.7,66.37,5.3,3.6,7,4.15,3.12,Average,INT0232,58.41
3.65,53.9,94.7,3.34,6.1,7.0,13,4.78,3.44,Excellent,INT0233,87.76
3.43,86.0,94.5,88.45,8.75,8.04,7,3.49,4.5,Good,INT0234,70.81
3.03,39.6,75.4,28.73,5.5,6.02,19,1.75,3.2,Excellent,INT0235,85.78
0.39,10.8,17.8,11.96,3.3,4.67,2,4.9,2.32,Fair,INT0236,52.28
1.95,50.6,9.3,55.91,5.22,8.18,12,2.77,3.09,Good,INT0237,80.96
3.42,89.9,38.4,3.33,0.0,4.52,7,1.25,1.0,Good,INT0238,78.44
2.52,27.9,56.9,91.83,7.5,5.29,11,5.28,4.0,Good,INT0239,76.7
1.87,35.9,12.4,64.76,4.75,5.61,7,2.03,2.9,Average,INT0240,60.79
0.64,27.6,6.0,44.04,2.95,3.0,13,6.21,2.18,Average,INT0241,57.45
0.54,29.5,21.4,89.64,1.65,0.53,8,6.43,1.66,Fair,INT0242,45.35
0.84,51.8,46.4,96.89,8.75,4.39,5,6.0,4.5,Average,INT0243,64.3
1.52,30.9,34.7,88.96,5.18,2.68,12,3.5,3.07,Good,INT0244,72.88
3.81,94.3,93.1,5.03,4.68,8.79,17,1.41,2.87,Good,INT0245,78.77
0.33,74.1,60.5,62.13,7.18,2.18,14,7.0,3.87,Good,INT0246,73.31
0.99,67.8,58.2,40.3,1.1,4.4,5,3.48,1.44,Average,INT0247,60.39
2.29,69.7,93.6,61.68,10.0,4.77,5,6.32,5.0,Average,INT0248,58.89
2.78,88.4,99.0,90.4,7.5,9.41,15,6.51,4.0,Good,INT0249,74.13
0.38,4.5,17.9,69.35,4.2,0.57,9,6.21,2.68,Poor,INT0250,37.4
2.49,39.9,60.8,61.59,6.5,6.39,9,3.23,3.6,Excellent,INT0251,86.54
1.04,28.2,37.2,66.83,0.03,4.39,9,2.91,1.01,Average,INT0252,55.26
2.9,37.4,76.3,91.21,4.68,1.54,13,5.73,2.87,Fair,INT0253,45.19
2.32,34.5,18.8,42.07,6.02,7.8,0,3.92,3.41,Average,INT0254,67.23
3.71,91.9,96.3,72.01,4.68,8.83,7,3.92,2.87,Excellent,INT0255,97.53
1.43,9.1,28.0,66.83,0.0,1.96,8,4.09,1.0,Fair,INT0256,49.12
1.04,27.0,38.2,53.51,0.88,2.29,20,6.93,1.35,Fair,INT0257,52.19
3.32,85.9,25.8,97.41,9.02,4.58,16,4.81,4.61,Average,INT0258,67.83
3.33,85.8,32.5,78.68,10.0,8.58,18,4.85,5.0,Good,INT0259,81.03
0.77,48.0,28.2,54.1,2.0,1.69,15,1.28,1.8,Average,INT0260,67.66
1.05,64.6,83.5,63.06,6.32,4.61,13,4.27,3.53,Good,INT0261,72.83
2.16,33.5,25.7,93.29,1.8,4.08,6,6.78,1.72,Average,INT0262,64.95
3.25,40.8,95.3,45.62,6.2,9.49,15,1.53,3.48,Excellent,INT0263,86.99
2.05,84.1,61.3,96.36,10.0,9.01,18,4.14,5.0,Excellent,INT0264,90.39
2.11,6.3,19.7,53.24,7.72,7.92,17,3.92,4.09,Average,INT0265,60.4
0.42,11.5,22.0,55.66,0.0,1.56,8,5.43,1.0,Poor,INT0266,34.07
1.94,37.9,57.6,79.84,2.2,7.2,10,5.34,1.88,Average,INT0267,59.19
1.57,23.0,38.3,67.7,3.48,6.24,8,5.07,2.39,Fair,INT0268,53.6
1.46,89.7,54.0,73.21,2.6,6.66,14,2.69,2.04,Average,INT0269,67.28
2.65,87.2,86.4,66.4,4.68,7.05,4,3.23,2.87,Average,INT0270,69.27
0.41,37.0,21.4,70.24,1.35,1.04,16,6.18,1.54,Fair,INT0271,49.57
1.21,20.8,29.2,91.13,3.82,8.05,6,5.43,2.53,Average,INT0272,59.18
1.86,90.3,27.4,79.67,7.5,5.15,9,6.15,4.0,Good,INT0273,73.16
2.83,62.2,78.5,99.87,0.37,6.08,10,3.92,1.15,Fair,INT0274,50.1
3.54,75.7,80.3,89.34,4.22,9.4,19,3.76,2.69,Excellent,INT0275,87.43
3.25,56.0,45.7,63.68,0.0,2.38,17,4.09,1.0,Average,INT0276,68.06
2.49,48.9,56.3,63.22,5.72,2.59,6,5.82,3.29,Average,INT0277,58.39
1.41,36.8,91.0,66.79,10.0,5.65,4,4.61,5.0,Good,INT0278,77.1
0.27,53.2,56.6,92.16,3.1,4.68,10,4.85,2.24,Average,INT0279,58.56
1.41,25.2,19.6,9.8,3.8,1.91,11,6.03,2.52,Fair,INT0280,44.52
0.56,7.8,22.5,27.5,1.6,5.32,4,6.16,1.64,Fair,INT0281,43.47
0.89,33.1,29.1,69.96,7.75,2.21,13,2.77,4.1,Good,INT0282,74.49
3.26,69.0,77.7,81.99,6.75,6.36,18,3.49,3.7,Excellent,INT0283,88.46
3.18,92.0,73.7,0.0,10.0,7.29,13,1.8,5.0,Excellent,INT0284,88.24
1.2,6.1,34.5,60.96,3.1,2.53,11,4.25,2.24,Fair,INT0285,48.52
1.94,52.7,43.5,0.14,0.57,6.59,16,1.59,1.23,Average,INT0286,68.62
3.23,24.3,84.8,94.69,1.78,7.02,19,3.98,1.71,Average,INT0287,69.64
1.22,9.2,23.7,62.81,0.47,4.4,8,4.11,1.19,Fair,INT0288,49.9
2.26,33.3,50.9,50.2,1.2,6.78,14,2.65,1.48,Good,INT0289,77.44
1.03,28.2,69.5,91.73,3.42,2.38,7,4.77,2.37,Average,INT0290,58.8
3.35,77.0,72.1,0.07,9.23,5.21,10,1.0,4.69,Excellent,INT0291,85.31
2.63,57.0,44.7,2.4,0.0,2.07,17,1.19,1.0,Average,INT0292,65.39
2.23,8.5,37.6,75.92,7.18,3.03,12,6.09,3.87,Fair,INT0293,47.45
1.9,48.9,84.9,57.92,6.28,7.13,12,3.2,3.51,Excellent,INT0294,89.14
2.82,47.5,71.5,66.3,4.35,7.08,11,1.87,2.74,Good,INT0295,79.46
3.49,85.8,92.5,57.83,4.68,7.84,15,4.18,2.87,Excellent,INT0296,85.64
2.44,61.2,59.7,85.44,10.0,4.18,11,5.32,5.0,Good,INT0297,76.56
